file_path,Pitch
/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-08-02-02-01-01.wav,1899.7997
/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-08-01-01-01-01.wav,1887.9792
/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-05-01-02-01-01.wav,1870.8351
/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-06-01-02-02-01.wav,1854.3431
/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-06-02-01-02-01.wav,1791.8357
/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-05-02-01-01-01.wav,1886.9716
/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-07-01-01-01-01.wav,1831.0707
/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-04-01-01-02-01.wav,1822.2036
/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-04-02-02-02-01.wav,1900.7799
/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-07-02-02-01-01.wav,1664.4971
/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-03-02-02-02-01.wav,1834.8594
/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-03-01-01-02-01.wav,1853.5822
/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-02-02-01-01-01.wav,1799.3057
/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-02-02-01.wav,1784.729
/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-02-01-02-01-01.wav,1804.145
/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-03-02-01-01-01.wav,1875.7634
/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-03-01-02-01-01.wav,1861.1382
/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-02-02-02-02-01.wav,1844.4323
/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-02-01-01-02-01.wav,1835.4337
/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-01-01-01.wav,1779.4193
/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-08-02-01-02-01.wav,1833.6826
/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-08-01-02-02-01.wav,1916.0222
/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-06-01-01-01-01.wav,1668.9574
/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-05-01-01-02-01.wav,1889.0201
/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-05-02-02-02-01.wav,1905.1594
/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-06-02-02-01-01.wav,1747.4181
/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-04-01-02-01-01.wav,1866.2015
/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-07-01-02-02-01.wav,1882.1554
/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-07-02-01-02-01.wav,1937.6276
/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-04-02-01-01-01.wav,1857.3677
/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-02-01-02-02-01.wav,1734.4857
/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-02-01-01.wav,1828.8231
/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-02-02-01-02-01.wav,1851.595
/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-03-01-01-01-01.wav,1784.4196
/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-03-02-02-01-01.wav,1793.4174
/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-08-01-01-02-01.wav,1904.9467
/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-08-02-02-02-01.wav,1840.372
/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-07-02-02-02-01.wav,1763.4749
/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-04-02-02-01-01.wav,1881.2855
