,Unnamed: 0,file_path,src,actor,gender,intensity,statement,repeat,emotion,transcript,stress_label
0,51,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-06-02-02-02-01.wav,1,1,male,1,1,1,6,dogs are sitting by the door,2
1,289,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_05/03-01-01-01-01-02-05.wav,1,5,male,0,0,1,1,kids are talking by the door,0
2,677,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_12/03-01-04-01-01-01-12.wav,1,12,female,0,0,0,4,kids are talking by the door,2
3,1005,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_18/03-01-06-01-01-02-18.wav,1,18,female,0,0,1,6,can you talking by the door,2
4,367,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_07/03-01-06-01-02-02-07.wav,1,7,male,0,1,1,6,dogs are sitting by the door,2
5,1156,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_20/03-01-08-01-02-02-20.wav,1,20,female,0,1,1,8,Doctor Strange by the door,0
6,566,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_10/03-01-01-01-01-02-10.wav,1,10,female,0,0,1,1,kids are talking by the door,0
7,534,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_10/03-01-08-01-01-01-10.wav,1,10,female,0,0,0,8,can you talking by the door,0
8,582,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_11/03-01-02-02-01-01-11.wav,1,11,male,1,0,0,2,kids talking by the door,0
9,1374,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_24/03-01-08-01-02-01-24.wav,1,24,female,0,1,0,8,talk to sitting by the door,0
10,962,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_17/03-01-07-01-02-02-17.wav,1,17,male,0,1,1,7,doctor sitting by the door,1
11,881,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_16/03-01-06-01-02-02-16.wav,1,16,female,0,1,1,6,charger sitting by the door,2
12,695,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_12/03-01-06-02-02-02-12.wav,1,12,female,1,1,1,6,Could not process audio transcription.,2
13,506,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_09/03-01-04-01-02-01-09.wav,1,9,male,0,1,0,4,talk to Siri,2
14,1411,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_24/03-01-04-02-02-02-24.wav,1,24,female,1,1,1,4,dogs are sitting by door,2
15,1179,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_20/03-01-02-01-02-01-20.wav,1,20,female,0,1,0,2,doctor sitting by the door,0
16,622,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_11/03-01-02-02-01-02-11.wav,1,11,male,1,0,1,2,can you talking by the door,0
17,939,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_16/03-01-03-02-01-02-16.wav,1,16,female,1,0,1,3,can you talking by the door,0
18,438,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_08/03-01-03-01-01-01-08.wav,1,8,female,0,0,0,3,did you talking by the door,0
19,901,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_16/03-01-05-01-01-02-16.wav,1,16,female,0,0,1,5,kids are talking by the door,1
20,494,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_09/03-01-01-01-02-01-09.wav,1,9,male,0,1,0,1,toxic sitting by the door,0
21,374,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_07/03-01-04-02-02-02-07.wav,1,7,male,1,1,1,4,dogs are sitting by the door,2
22,493,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_09/03-01-02-01-02-02-09.wav,1,9,male,0,1,1,2,transistor sitting by the door,0
23,361,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_07/03-01-03-01-01-02-07.wav,1,7,male,0,0,1,3,kids talking by the door,0
24,605,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_11/03-01-02-01-01-02-11.wav,1,11,male,0,0,1,2,can you talking by the door,0
25,67,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_02/03-01-04-02-02-02-02.wav,1,2,female,1,1,1,4,translate sitting by the door,2
26,578,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_10/03-01-08-01-02-01-10.wav,1,10,female,0,1,0,8,talk just sitting by the door,0
27,819,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_14/03-01-02-01-01-01-14.wav,1,14,female,0,0,0,2,kids are talking by the door,0
28,994,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_17/03-01-08-01-02-01-17.wav,1,17,male,0,1,0,8,doctor sitting by the door,0
29,1286,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_22/03-01-07-02-02-01-22.wav,1,22,female,1,1,0,7,dogs are sitting by the door,1
30,1357,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_23/03-01-02-02-01-01-23.wav,1,23,male,1,0,0,2,kids are talking by the door,0
31,859,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_15/03-01-07-01-01-02-15.wav,1,15,male,0,0,1,7,kids are talking by the door,1
32,573,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_10/03-01-07-01-02-01-10.wav,1,10,female,0,1,0,7,dogs are sitting by the door,1
33,1098,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_19/03-01-08-02-01-02-19.wav,1,19,male,1,0,1,8,kids are talking by the door,0
34,869,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_15/03-01-04-01-02-02-15.wav,1,15,male,0,1,1,4,translate sitting by the door,2
35,49,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-07-01-02-01-01.wav,1,1,male,0,1,0,7,doctor sitting by the door,1
36,1125,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_20/03-01-04-01-02-02-20.wav,1,20,female,0,1,1,4,Manchester United tour,2
37,630,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_11/03-01-05-01-01-01-11.wav,1,11,male,0,0,0,5,kids are talking by the door,1
38,1403,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_24/03-01-03-01-02-01-24.wav,1,24,female,0,1,0,3,talks are sitting by the door,0
39,310,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_06/03-01-04-01-01-02-06.wav,1,6,female,0,0,1,4,kids are talking by the door,2
40,29,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-04-02-01-01-01.wav,1,1,male,1,0,0,4,kids are talking by the door,2
41,1042,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_18/03-01-02-02-02-02-18.wav,1,18,female,1,1,1,2,dancer sitting by the door,0
42,583,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_11/03-01-03-01-01-02-11.wav,1,11,male,0,0,1,3,can you talking by the door,0
43,485,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_09/03-01-03-02-01-02-09.wav,1,9,male,1,0,1,3,could you talking by the Joker,0
44,1108,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_19/03-01-01-01-02-02-19.wav,1,19,male,0,1,1,1,talk to sitting by the door,0
45,613,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_11/03-01-06-02-01-01-11.wav,1,11,male,1,0,0,6,can you talking by the door,2
46,1235,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_21/03-01-02-01-02-01-21.wav,1,21,male,0,1,0,2,doctor sitting by the door,0
47,720,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_13/03-01-06-02-02-01-13.wav,1,13,male,1,1,0,6,dogs are sitting by the door,2
48,244,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_05/03-01-03-02-02-02-05.wav,1,5,male,1,1,1,3,dogs are sitting by the door,0
49,303,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_06/03-01-03-01-01-02-06.wav,1,6,female,0,0,1,3,keep the talking by the door,0
50,76,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_02/03-01-03-01-02-01-02.wav,1,2,female,0,1,0,3,dogs are sitting by the door,0
51,115,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_02/03-01-02-01-01-01-02.wav,1,2,female,0,0,0,2,kids attacking by the door,0
52,70,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_02/03-01-03-02-02-02-02.wav,1,2,female,1,1,1,3,doctor sitting by the door,0
53,208,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_04/03-01-02-01-01-02-04.wav,1,4,female,0,0,1,2,kids talking by the door,0
54,1355,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_23/03-01-03-02-02-02-23.wav,1,23,male,1,1,1,3,doctor sitting by the door,0
55,78,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_02/03-01-01-01-01-01-02.wav,1,2,female,0,0,0,1,kids are talking by the door,0
56,218,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_04/03-01-08-01-01-02-04.wav,1,4,female,0,0,1,8,can you talking about the door,0
57,1006,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_18/03-01-05-01-01-01-18.wav,1,18,female,0,0,0,5,kids are talking by the door,1
58,888,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_16/03-01-08-02-02-01-16.wav,1,16,female,1,1,0,8,dogs are sitting by the door,0
59,233,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_04/03-01-04-01-02-02-04.wav,1,4,female,0,1,1,4,talks are sitting by the door,2
60,1155,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_20/03-01-08-02-01-02-20.wav,1,20,female,1,0,1,8,can you talking about the door,0
61,736,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_13/03-01-05-02-01-02-13.wav,1,13,male,1,0,1,5,kids are talking by the door,1
62,44,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-05-01-02-02-01.wav,1,1,male,0,1,1,5,dogs are sitting by the door,1
63,998,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_17/03-01-02-01-01-01-17.wav,1,17,male,0,0,0,2,kids talking by the door,0
64,101,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_02/03-01-05-01-02-02-02.wav,1,2,female,0,1,1,5,dogs are sitting by the door,1
65,1408,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_24/03-01-03-01-01-02-24.wav,1,24,female,0,0,1,3,kids Hawking by Twitter,0
66,382,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_07/03-01-04-01-02-01-07.wav,1,7,male,0,1,0,4,dogs are sitting by the door,2
