Unnamed: 0.1,Unnamed: 0,file_path,src,actor,gender,intensity,statement,repeat,emotion,transcript,stress_label,Pitch
1094,19,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-01-01-01.wav,1,1,male,0,0,0,1,can you talking by the door,0,1779.4193
608,55,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-01-02-01.wav,1,1,male,0,0,1,1,can you talking by the door,0,1818.3252
277,31,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-02-01-01.wav,1,1,male,0,1,0,1,dogs are sitting by the door,0,1828.8231
1368,13,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-02-02-01.wav,1,1,male,0,1,1,1,talk to city by the door,0,1784.729
254,56,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-02-01-01-01-01.wav,1,1,male,0,0,0,2,kids talking by the door,0,1804.7471
909,18,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-02-01-01-02-01.wav,1,1,male,0,0,1,2,kids talking by the door,0,1835.4337
1326,14,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-02-01-02-01-01.wav,1,1,male,0,1,0,2,talk to sitting by the door,0,1804.145
147,30,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-02-01-02-02-01.wav,1,1,male,0,1,1,2,dogs are sitting by the door,0,1734.4857
494,12,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-02-02-01-01-01.wav,1,1,male,1,0,0,2,change your talking by the door,0,1799.3057
112,32,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-02-02-01-02-01.wav,1,1,male,1,0,1,2,kids are talking by the door,0,1851.595
813,57,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-02-02-02-01-01.wav,1,1,male,1,1,0,2,dogs are sitting by the door,0,1798.5125
1115,17,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-02-02-02-02-01.wav,1,1,male,1,1,1,2,dogs are sitting by the door,0,1844.4323
691,33,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-03-01-01-01-01.wav,1,1,male,0,0,0,3,can you talking by the door,0,1784.4196
974,11,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-03-01-01-02-01.wav,1,1,male,0,0,1,3,can you talking by the door,0,1853.5822
1135,16,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-03-01-02-01-01.wav,1,1,male,0,1,0,3,dogs are sitting by the door,0,1861.1382
182,58,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-03-01-02-02-01.wav,1,1,male,0,1,1,3,dogs are sitting by the door,0,1771.354
1006,15,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-03-02-01-01-01.wav,1,1,male,1,0,0,3,kids talking by the door,0,1875.7634
459,59,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-03-02-01-02-01.wav,1,1,male,1,0,1,3,kids are talking by the door,0,1764.4058
1358,34,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-03-02-02-01-01.wav,1,1,male,1,1,0,3,dogs are sitting by the door,0,1793.4174
363,10,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-03-02-02-02-01.wav,1,1,male,1,1,1,3,dogs are sitting by the door,0,1834.8594
537,39,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-04-01-01-01-01.wav,1,1,male,0,0,0,4,kids are talking by the door,2,1872.8103
761,7,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-04-01-01-02-01.wav,1,1,male,0,0,1,4,kids are talking by the door,2,1822.2036
1147,26,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-04-01-02-01-01.wav,1,1,male,0,1,0,4,talk to sitting by the door,2,1866.2015
1084,50,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-04-01-02-02-01.wav,1,1,male,0,1,1,4,talk to sitting by the door,2,1873.7726
40,29,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-04-02-01-01-01.wav,1,1,male,1,0,0,4,kids are talking by the door,2,1857.3677
605,47,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-04-02-01-02-01.wav,1,1,male,1,0,1,4,kids are talking by the door,2,1923.718
880,38,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-04-02-02-01-01.wav,1,1,male,1,1,0,4,dogs are sitting by the door,2,1881.2855
1187,8,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-04-02-02-02-01.wav,1,1,male,1,1,1,4,dogs are sitting by the door,2,1900.7799
1180,53,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-05-01-01-01-01.wav,1,1,male,0,0,0,5,kids are talking by the door,1,1912.4438
186,23,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-05-01-01-02-01.wav,1,1,male,0,0,1,5,kids are talking by the door,1,1889.0201
586,2,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-05-01-02-01-01.wav,1,1,male,0,1,0,5,dogs are sitting by the door,1,1870.8351
62,44,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-05-01-02-02-01.wav,1,1,male,0,1,1,5,dogs are sitting by the door,1,1887.0612
534,5,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-05-02-01-01-01.wav,1,1,male,1,0,0,5,kids are talking by the door,1,1886.9716
877,41,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-05-02-01-02-01.wav,1,1,male,1,0,1,5,screenshot talking by the door,1,1957.3533
644,52,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-05-02-02-01-01.wav,1,1,male,1,1,0,5,dogs are sitting by the door,1,1951.6937
887,24,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-05-02-02-02-01.wav,1,1,male,1,1,1,5,stocks are sitting by the door,1,1905.1594
1024,22,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-06-01-01-01-01.wav,1,1,male,0,0,0,6,kids are talking by the door,2,1668.9574
322,54,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-06-01-01-02-01.wav,1,1,male,0,0,1,6,kids talking by the door,2,1804.1803
86,43,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-06-01-02-01-01.wav,1,1,male,0,1,0,6,stocks are sitting by the door,2,1682.8954
530,3,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-06-01-02-02-01.wav,1,1,male,0,1,1,6,dogs are sitting by the door,2,1854.3431
978,42,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-06-02-01-01-01.wav,1,1,male,1,0,0,6,talking by the door,2,1791.1849
1070,4,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-06-02-01-02-01.wav,1,1,male,1,0,1,6,kids are talking by the door,2,1791.8357
602,25,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-06-02-02-01-01.wav,1,1,male,1,1,0,6,dogs are sitting by the door,2,1747.4181
0,51,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-06-02-02-02-01.wav,1,1,male,1,1,1,6,dogs are sitting by the door,2,1669.1265
587,6,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-07-01-01-01-01.wav,1,1,male,0,0,0,7,kids talking by the door,1,1831.0707
1312,40,/Users/shreyanandini/Desktop/Stress Level Detection From Speech/Audio_Speech_Actors_01-24/Actor_01/03-01-07-01-01-02-01.wav,1,1,male,0,0,1,7,kids talking by the door,1,1850.4536
